date;Plant number;Truss number;Brix (Number);Diameter of fruits (mm);Weight per fruit (gr); Number of fruits (Number);Fresh weight (gr)
18/04/2019;309;2;5,4;68;;6;879
18/04/2019;309;3;;;;6;618
18/04/2019;310;3;;;;4;532
18/04/2019;311;3;;;;6;905
18/04/2019;400;6;;;;14;286
18/04/2019;400;7;;;;14;212
18/04/2019;401;5;;;;13;215
18/04/2019;401;6;;;;13;242
18/04/2019;401;7;;;;12;179
18/04/2019;402;6;10,2;32;;12;185
18/04/2019;403;6;9,3;32;;13;222
18/04/2019;403;7;;;;12;206
18/04/2019;404;6;;;;13;214
18/04/2019;404;7;;;;11;197
18/04/2019;405;5;;;;13;266
18/04/2019;405;6;;;;11;238
18/04/2019;406;6;9,2;35;;13;223
18/04/2019;406;7;;;;11;210
18/04/2019;407;6;;;;14;243
18/04/2019;407;7;;;;13;273
18/04/2019;408;6;;;;13;236
18/04/2019;408;7;;;;11;234
18/04/2019;409;6;10,1;34;;12;209
18/04/2019;409;7;;;;13;229
18/04/2019;409;8;;;;10;209
18/04/2019;410;6;11,5;35;;13;225
18/04/2019;410;7;;;;12;208
18/04/2019;411;7;;;;14;223
18/04/2019;500;3;4,6;55;;6;603
18/04/2019;501;3;;;;6;699
18/04/2019;503;3;4,5;58;;5;525
18/04/2019;504;3;;;;7;662
18/04/2019;505;3;4,6;60;;7;788
18/04/2019;506;3;;;;6;543
18/04/2019;507;3;4,6;61;;6;694
18/04/2019;508;3;;;;6;676
18/04/2019;509;2;;;;8;1008
18/04/2019;509;3;;;;4;396
18/04/2019;510;2;5,1;61;;6;686
18/04/2019;511;3;;;;6;583
18/04/2019;600;5;;;;8;396
18/04/2019;600;6;;;;7;323
18/04/2019;601;5;7,1;46;;8;370
18/04/2019;602;5;;;;8;362
18/04/2019;602;6;;;;8;306
18/04/2019;603;5;7,2;48;;8;417
18/04/2019;603;6;;;;6;289
18/04/2019;604;5;;;;8;356
18/04/2019;604;6;;;;8;368
18/04/2019;605;5;6,8;49;;8;433
18/04/2019;606;5;;;;8;339
18/04/2019;606;6;;;;7;298
18/04/2019;607;6;;;;8;331
18/04/2019;608;5;;;;8;310
18/04/2019;608;6;;;;6;259
18/04/2019;609;5;7,3;48;;8;382
18/04/2019;609;6;;;;6;315
18/04/2019;610;5;7,5;52;;8;436
18/04/2019;610;6;;;;8;311
18/04/2019;611;5;;;;8;316
25/04/2019;300;3;8,2;60;;5;399
25/04/2019;301;4;4;61;;6;325
25/04/2019;302;3;;;;6;394
25/04/2019;302;4;;;;6;222
25/04/2019;303;4;;;;2;95
25/04/2019;304;5;;;;2;75
25/04/2019;305;3;4,2;60;;5;290
25/04/2019;307;4;4;62;;6;320
25/04/2019;308;4;3,9;64;;5;275
25/04/2019;311;3;;;;4;258
25/04/2019;400;8;7,9;32;;14;209
25/04/2019;401;8;;;;12;161
25/04/2019;402;7;;;;14;226
25/04/2019;402;8;8;31;;12;214
25/04/2019;403;8;;;;14;218
25/04/2019;404;8;;;;14;218
25/04/2019;405;7;;;;13;251
25/04/2019;405;8;7,8;33;;12;229
25/04/2019;406;8;;;;14;220
25/04/2019;407;8;;;;12;212
25/04/2019;408;8;8,7;33;;12;210
25/04/2019;409;9;;;;12;208
25/04/2019;410;8;8,8;32;;13;211
25/04/2019;411;8;;;;14;218
25/04/2019;500;4;;;;4;392
25/04/2019;501;3;4,3;61;;6;695
25/04/2019;502;3;;;;6;669
25/04/2019;503;4;3,9;56;;4;548
25/04/2019;504;4;4,4;50;;4;457
25/04/2019;505;4;;;;6;543
25/04/2019;506;4;5;52;;6;525
25/04/2019;507;4;;;;4;354
25/04/2019;508;4;3,8;38;;6;484
25/04/2019;509;4;;;;3;252
25/04/2019;510;3;;;;6;448
25/04/2019;510;4;4,2;55;;4;406
25/04/2019;511;4;;;;5;425
25/04/2019;600;7;6,7;47;;7;305
25/04/2019;601;6;;;;7;344
25/04/2019;602;7;6,7;43;;6;292
25/04/2019;603;7;;;;8;327
25/04/2019;604;7;5,9;44;;8;259
25/04/2019;605;6;;;;8;292
25/04/2019;606;7;6,4;45;;8;297
25/04/2019;611;6;6,7;;;8;330
02/05/2019;301;5;3,7;58;;5;550
02/05/2019;304;6;4;58;;6;709
02/05/2019;305;4;3,7;67;;6;576
02/05/2019;306;5;;;;3;206
02/05/2019;307;5;3,8;61;;5;448
02/05/2019;308;5;;;;6;528
02/05/2019;309;4;;;;6;981
02/05/2019;310;4;;;;4;269
02/05/2019;311;5;3,9;60;;3;269
02/05/2019;400;9;8;31,7;;13;217
02/05/2019;400;10;;;;13;189
02/05/2019;400;11;;;;9;158
02/05/2019;401;9;;;;13;169
02/05/2019;402;9;;;;14;213
02/05/2019;402;10;;;;9;153
02/05/2019;403;9;;;;14;232
02/05/2019;403;10;;;;12;188
02/05/2019;403;11;;;;9;193
02/05/2019;404;9;8,7;33,2;;13;204
02/05/2019;404;10;;;;12;173
02/05/2019;405;9;8;33,5;;13;217
02/05/2019;405;10;;;;11;189
02/05/2019;406;9;;;;14;248
02/05/2019;406;10;;;;12;216
02/05/2019;407;9;;;;14;270
02/05/2019;407;10;;;;13;214
02/05/2019;408;9;;;;13;229
02/05/2019;408;10;;;;10;224
02/05/2019;409;10;;;;13;238
02/05/2019;409;11;;;;8;200
02/05/2019;410;9;10,1;32;;13;216
02/05/2019;410;10;;;;10;211
02/05/2019;411;9;11,1;30;;14;226
02/05/2019;411;10;;;;12;205
02/05/2019;501;4;;;;4;445
02/05/2019;502;4;7,4;48;;4;339
02/05/2019;503;5;;;;2;184
02/05/2019;505;5;7;43;;3;303
02/05/2019;507;5;6;46;;3;239
02/05/2019;510;5;5,7;47;;3;197
02/05/2019;600;8;;;;8;338
02/05/2019;601;8;;;;8;340
02/05/2019;602;8;;;;8;338
02/05/2019;602;9;;;;6;362
02/05/2019;603;8;;;;8;341
02/05/2019;604;8;8,2;45;;8;341
02/05/2019;604;9;;;;7;327
02/05/2019;605;7;8,3;41;;8;272
