row_number,plant_number,date,truss_number,brix,diameter,fruit_number,weight,total_sap,total_sap_mean,week_before_sap,week_before_sap_mean,week_after_sap,week_after_sap_mean
21,407,2019-03-20 00:00:00,1,8.8,33.0,12.0,179.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
21,407,2019-03-20 00:00:00,2,,,14.0,207.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
22,408,2019-03-20 00:00:00,1,,,6.0,112.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
22,408,2019-03-20 00:00:00,2,,,8.0,153.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
23,409,2019-03-20 00:00:00,1,8.8,34.0,12.0,225.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
23,409,2019-03-20 00:00:00,2,,,14.0,240.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
24,410,2019-03-20 00:00:00,1,,,14.0,342.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
24,410,2019-03-20 00:00:00,2,,,13.0,263.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
25,411,2019-03-20 00:00:00,1,,,14.0,254.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
25,411,2019-03-20 00:00:00,2,,,14.0,224.0,32371.554000000004,674.4073750000001,6752.813999999999,844.1017499999999,7916.597,989.574625
38,600,2019-03-20 00:00:00,1,8.1,51.0,9.0,467.0,25970.475999999988,541.051583333333,4000.1260000000007,500.0157500000001,4174.255,521.781875
38,600,2019-03-20 00:00:00,2,,,7.0,338.0,25970.475999999988,541.051583333333,4000.1260000000007,500.0157500000001,4174.255,521.781875
39,601,2019-03-20 00:00:00,1,,,4.0,219.0,25970.475999999988,541.051583333333,4000.1260000000007,500.0157500000001,4174.255,521.781875
39,601,2019-03-20 00:00:00,2,,,7.0,358.0,25970.475999999988,541.051583333333,4000.1260000000007,500.0157500000001,4174.255,521.781875
40,602,2019-03-20 00:00:00,1,8.5,60.0,8.0,407.0,25970.475999999988,541.051583333333,4000.1260000000007,500.0157500000001,4174.255,521.781875
40,602,2019-03-20 00:00:00,2,,,8.0,323.0,25970.475999999988,541.051583333333,4000.1260000000007,500.0157500000001,4174.255,521.781875
41,603,2019-03-20 00:00:00,1,,,8.0,403.0,25970.475999999988,541.051583333333,4000.1260000000007,500.0157500000001,4174.255,521.781875
41,603,2019-03-20 00:00:00,2,,,5.0,188.0,25970.475999999988,541.051583333333,4000.1260000000007,500.0157500000001,4174.255,521.781875
42,604,2019-03-20 00:00:00,1,,,8.0,395.0,25970.475999999988,541.051583333333,4000.1260000000007,500.0157500000001,4174.255,521.781875
43,605,2019-03-20 00:00:00,1,,,8.0,369.0,25970.475999999988,541.051583333333,4000.1260000000007,500.0157500000001,4174.255,521.781875
44,606,2019-03-20 00:00:00,1,8.3,53.0,8.0,462.0,27684.907999999996,601.8458260869564,5716.535,714.566875,6946.307,868.288375
44,606,2019-03-20 00:00:00,2,,,8.0,378.0,27684.907999999996,601.8458260869564,5716.535,714.566875,6946.307,868.288375
45,607,2019-03-20 00:00:00,1,,,8.0,423.0,27684.907999999996,601.8458260869564,5716.535,714.566875,6946.307,868.288375
45,607,2019-03-20 00:00:00,2,,,9.0,403.0,27684.907999999996,601.8458260869564,5716.535,714.566875,6946.307,868.288375
46,608,2019-03-20 00:00:00,1,,,2.0,161.0,27684.907999999996,601.8458260869564,5716.535,714.566875,6946.307,868.288375
46,608,2019-03-20 00:00:00,2,,,7.0,335.0,27684.907999999996,601.8458260869564,5716.535,714.566875,6946.307,868.288375
47,609,2019-03-20 00:00:00,1,7.5,61.0,8.0,473.0,27684.907999999996,601.8458260869564,5716.535,714.566875,6946.307,868.288375
47,609,2019-03-20 00:00:00,2,,,7.0,412.0,27684.907999999996,601.8458260869564,5716.535,714.566875,6946.307,868.288375
48,610,2019-03-20 00:00:00,1,,,8.0,463.0,27684.907999999996,601.8458260869564,5716.535,714.566875,6946.307,868.288375
48,610,2019-03-20 00:00:00,2,,,8.0,447.0,27684.907999999996,601.8458260869564,5716.535,714.566875,6946.307,868.288375
49,611,2019-03-20 00:00:00,1,8.3,52.0,8.0,387.0,27684.907999999996,601.8458260869564,5716.535,714.566875,6946.307,868.288375
50,300,2019-03-27 00:00:00,2,,,8.0,357.0,33737.233,613.4042363636364,6738.858,842.35725,7249.419000000001,906.1773750000001
54,304,2019-03-27 00:00:00,1,3.9,75.0,5.0,781.0,33737.233,613.4042363636364,6738.858,842.35725,7249.419000000001,906.1773750000001
56,306,2019-03-27 00:00:00,1,3.3,64.0,6.0,1008.0,28807.247999999992,523.7681454545453,5004.158,625.51975,4881.173,610.146625
57,307,2019-03-27 00:00:00,1,3.4,75.0,6.0,715.0,28807.247999999992,523.7681454545453,5004.158,625.51975,4881.173,610.146625
58,308,2019-03-27 00:00:00,1,3.4,72.0,6.0,908.0,28807.247999999992,523.7681454545453,5004.158,625.51975,4881.173,610.146625
61,311,2019-03-27 00:00:00,1,3.5,75.0,6.0,945.0,28807.247999999992,523.7681454545453,5004.158,625.51975,4881.173,610.146625
62,400,2019-03-27 00:00:00,3,6.8,32.0,14.0,267.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
63,401,2019-03-27 00:00:00,3,,,14.0,266.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
64,402,2019-03-27 00:00:00,3,6.8,34.0,12.0,204.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
65,403,2019-03-27 00:00:00,3,,,14.0,257.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
66,404,2019-03-27 00:00:00,3,,,14.0,234.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
67,405,2019-03-27 00:00:00,3,6.9,34.0,14.0,285.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
68,406,2019-03-27 00:00:00,3,,,10.0,212.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
69,407,2019-03-27 00:00:00,3,6.6,32.0,13.0,248.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
70,408,2019-03-27 00:00:00,3,,,12.0,259.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
71,409,2019-03-27 00:00:00,3,,,14.0,240.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
72,410,2019-03-27 00:00:00,3,6.9,34.0,12.0,250.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
73,411,2019-03-27 00:00:00,3,6.9,34.0,13.0,220.0,39442.388000000006,717.1343272727274,7916.597,989.574625,9111.3,1138.9125
74,500,2019-03-27 00:00:00,1,4.2,62.0,6.0,654.0,47048.85100000001,855.4336545454547,8528.037999999999,1066.0047499999998,8952.873,1119.109125
80,506,2019-03-27 00:00:00,1,4.3,60.0,6.0,692.0,47048.85100000001,855.4336545454547,8528.037999999999,1066.0047499999998,8952.873,1119.109125
86,600,2019-03-27 00:00:00,3,6.2,46.0,8.0,366.0,29652.51199999999,539.1365818181816,4174.255,521.781875,5547.420999999999,693.4276249999999
88,602,2019-03-27 00:00:00,3,5.8,45.0,8.0,293.0,29652.51199999999,539.1365818181816,4174.255,521.781875,5547.420999999999,693.4276249999999
89,603,2019-03-27 00:00:00,3,,,6.0,308.0,29652.51199999999,539.1365818181816,4174.255,521.781875,5547.420999999999,693.4276249999999
90,604,2019-03-27 00:00:00,2,,,7.0,302.0,29652.51199999999,539.1365818181816,4174.255,521.781875,5547.420999999999,693.4276249999999
90,604,2019-03-27 00:00:00,3,,,8.0,332.0,29652.51199999999,539.1365818181816,4174.255,521.781875,5547.420999999999,693.4276249999999
91,605,2019-03-27 00:00:00,2,5.8,48.0,8.0,386.0,29652.51199999999,539.1365818181816,4174.255,521.781875,5547.420999999999,693.4276249999999
92,606,2019-03-27 00:00:00,3,,,8.0,329.0,33872.49199999999,639.1036226415092,6946.307,868.288375,7242.039,905.254875
93,607,2019-03-27 00:00:00,3,,,8.0,289.0,33872.49199999999,639.1036226415092,6946.307,868.288375,7242.039,905.254875
94,608,2019-03-27 00:00:00,3,,,7.0,320.0,33872.49199999999,639.1036226415092,6946.307,868.288375,7242.039,905.254875
95,609,2019-03-27 00:00:00,3,5.5,50.0,7.0,353.0,33872.49199999999,639.1036226415092,6946.307,868.288375,7242.039,905.254875
96,610,2019-03-27 00:00:00,3,,,8.0,415.0,33872.49199999999,639.1036226415092,6946.307,868.288375,7242.039,905.254875
97,611,2019-03-27 00:00:00,3,6.1,45.0,8.0,308.0,33872.49199999999,639.1036226415092,6946.307,868.288375,7242.039,905.254875
98,300,2019-04-03 00:00:00,1,4.8,69.0,6.0,853.0,40133.021,647.3067903225807,7249.419000000001,906.1773750000001,10776.41,1347.05125
99,301,2019-04-03 00:00:00,1,,,6.0,809.0,40133.021,647.3067903225807,7249.419000000001,906.1773750000001,10776.41,1347.05125
100,302,2019-04-03 00:00:00,1,3.7,70.0,6.0,745.0,40133.021,647.3067903225807,7249.419000000001,906.1773750000001,10776.41,1347.05125
101,303,2019-04-03 00:00:00,1,,,6.0,906.0,40133.021,647.3067903225807,7249.419000000001,906.1773750000001,10776.41,1347.05125
103,305,2019-04-03 00:00:00,1,4.1,93.0,6.0,1234.0,40133.021,647.3067903225807,7249.419000000001,906.1773750000001,10776.41,1347.05125
104,306,2019-04-03 00:00:00,1,,,4.0,801.0,33076.929,533.4988548387096,4881.173,610.146625,5632.133,704.016625
105,307,2019-04-03 00:00:00,1,4.0,62.0,6.0,658.0,33076.929,533.4988548387096,4881.173,610.146625,5632.133,704.016625
107,309,2019-04-03 00:00:00,1,,,6.0,742.0,33076.929,533.4988548387096,4881.173,610.146625,5632.133,704.016625
108,310,2019-04-03 00:00:00,1,3.7,75.0,6.0,918.0,33076.929,533.4988548387096,4881.173,610.146625,5632.133,704.016625
110,400,2019-04-03 00:00:00,4,7.7,36.0,14.0,270.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
110,400,2019-04-03 00:00:00,5,,,12.0,224.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
111,401,2019-04-03 00:00:00,4,6.9,33.0,14.0,253.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
112,402,2019-04-03 00:00:00,4,,,14.0,229.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
112,402,2019-04-03 00:00:00,5,,,9.0,177.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
113,403,2019-04-03 00:00:00,4,7.8,30.0,12.0,248.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
113,403,2019-04-03 00:00:00,5,,,11.0,225.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
114,404,2019-04-03 00:00:00,4,,,14.0,243.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
114,404,2019-04-03 00:00:00,5,,,10.0,237.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
115,405,2019-04-03 00:00:00,3,,,14.0,294.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
116,406,2019-04-03 00:00:00,4,6.8,32.8,14.0,259.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
117,407,2019-04-03 00:00:00,4,,,13.0,258.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
118,408,2019-04-03 00:00:00,4,,,13.0,236.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
119,409,2019-04-03 00:00:00,4,,,14.0,230.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
119,409,2019-04-03 00:00:00,5,,,12.0,225.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
120,410,2019-04-03 00:00:00,4,7.6,33.6,12.0,256.0,47466.708000000006,765.5920645161291,9111.3,1138.9125,10241.904999999999,1280.2381249999999
